Location,Authority_Name,Authority_Phone,Authority_Email
Hazratganj,Lucknow Traffic Police Zone 1,+91 79751 00340,pk00jee@gmail.com
Alambagh,Lucknow Traffic Police Zone 2,+91 79993 15464,pk00jee@gmail.com
Indira Nagar,Lucknow Traffic Police Zone 3,+91 74899 22370,pk00jee@gmail.com
Gomti Nagar,Lucknow Traffic Police Zone 4,+91 79751 00340,pk00jee@gmail.com
Charbagh,Lucknow Traffic Police Zone 5,+91 79993 15464,pk00jee@gmail.com
Aliganj,Lucknow Traffic Police Zone 6,+91 74899 22370,pk00jee@gmail.com
Mahanagar,Lucknow Traffic Police Zone 7,+91 79751 00340,pk00jee@gmail.com
Aminabad,Lucknow Traffic Police Zone 8,+91 79993 15464,pk00jee@gmail.com
Krishna Nagar,Lucknow Traffic Police Zone 9,+91 74899 22370,pk00jee@gmail.com
Transport Nagar,Lucknow Traffic Police Zone 10,+91 79751 00340,pk00jee@gmail.com
